"Permit","Api","WellName","AreaName","FieldName","PoolNames","CurrentClass","CurrentStatus","SpudDate","OperatorName","AEO","AIO","CO","DIO","ERIO","O","SIO"
224065,50883201960000,"N COOK INLET UNIT A-20","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","6/6/2024 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
224086,50883201990000,"N COOK INLET UNIT A-21","COOK INLET BASIN","NORTH COOK INLET","TERTIARY GAS","Development","Gas well, single completion","8/9/2024 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 68, CO 68 A, CO 420, CO 507, CO 606","DIO 17 6","","",""
162035,50885100060000,"WIDE BAY UNIT 1","ALASKA PENIN SE","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","12/13/1962 12:00:00 AM","Richfield Oil Corporation","","","","","","",""
100474,55100000010000,"OCS Y-0211 YAKUTAT 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","4/10/1983 12:00:00 AM","ARCO Alaska Inc.","","","","","","",""
100230,55130000010000,"C.O.S.T. ALASKA 1 DST-01","GULF OF AK BASIN","*EXPLORATORY","Unknown","Stratigraphic Test","Plugged & Abandoned","7/22/1975 12:00:00 AM","Atlantic Richfield Company","","","","","","",""
100231,55130000020000,"OCS Y-0011 MARIA 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","9/1/1976 12:00:00 AM","Shell Oil Company","","","","","","",""
100465,55130000030000,"OCS Y-0007 SALOME 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","10/21/1976 12:00:00 AM","Atlantic Richfield Company","","","","","","",""
100465,55130000037000,"OCS Y-0007 SALOME 1PB1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Unknown","Plugged & Abandoned","","Atlantic Richfield Company","","","","","","",""
100466,55130000060000,"OCS Y-0014 YVONNE 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","2/11/1977 12:00:00 AM","Shell Oil Company","","","","","","",""
100467,55130000060100,"OCS Y-0014 YVONNE 2","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","6/20/1977 12:00:00 AM","Shell Oil Company","","","","","","",""
100467,55130000067000,"OCS Y-0014 YVONNE 2PB1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Unknown","Plugged & Abandoned","","Shell Oil Company","","","","","","",""
100469,55130000080000,"OCS Y-0046 C SUCKLNG 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","4/15/1977 12:00:00 AM","Texaco Inc.","","","","","","",""
100232,55130000090000,"OCS Y-0032 RACHEL 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","7/17/1977 12:00:00 AM","Texaco Inc.","","","","","","",""
100470,55130000100000,"OCS Y-0050 SETTER 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","3/8/1977 12:00:00 AM","Exxon Corporation","","","","","","",""
100471,55130000130000,"OCS Y-0059 WALRUS 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","5/13/1977 12:00:00 AM","Gulf Oil Corporation","","","","","","",""
100472,55130000180000,"OCS Y-0072 MARMOT 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","1/9/1978 12:00:00 AM","Exxon Corporation","","","","","","",""
100468,55130000200000,"OCS Y-0035 GRIZZLY 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","3/23/1978 12:00:00 AM","Exxon Corporation","","","","","","",""
100418,55141000040000,"OCS Y-0943 AURORA 1","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","11/2/1987 12:00:00 AM","Tenneco Oil Company","","","","","","",""
100417,55141000050000,"OCS Y-0917 BELCHER 1","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","9/5/1988 12:00:00 AM","Amoco Production Company","","","","","","",""
100473,55160000010000,"OCS Y-0080 RACOON 1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","7/9/1977 12:00:00 AM","Exxon Corporation","","","","","","",""
100473,55160000017000,"OCS Y-0080 RACOON 1PB1","GULF OF AK BASIN","*EXPLORATORY","Unknown","Unknown","Plugged & Abandoned","","Exxon Corporation","","","","","","",""
100411,55171000010000,"OCS Y-0849 HAMMER 1","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","8/10/1985 12:00:00 AM","Union Oil Company of California","","","","","","",""
100416,55171000020000,"OCS Y-0871 CORONA 1","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","7/28/1986 12:00:00 AM","Shell Western E&P Inc.","","","","","","",""
100412,55171000060000,"OCS Y-0849 HAMMER 2","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","9/27/1986 12:00:00 AM","Union Oil Company of California","","","","","","",""
100419,55171000070000,"OCS Y-1092 GALAHAD 1","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","9/14/1991 12:00:00 AM","Amoco Production Company","","","","","","",""
100414,55171000080000,"OCS Y-0866 KUVLUM 1","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","8/22/1992 12:00:00 AM","ARCO Alaska Inc.","","","","","","",""
100413,55171000090000,"OCS Y-0865 KUVLUM 2","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","7/28/1993 12:00:00 AM","ARCO Alaska Inc.","","","","","","",""
100415,55171000100000,"OCS Y-0866 KUVLUM 3","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","9/7/1993 12:00:00 AM","ARCO Alaska Inc.","","","","","","",""
100421,55171000110000,"OCS Y-1597 WILD WEASEL 1","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","10/13/1993 12:00:00 AM","ARCO Alaska Inc.","","","","","","",""
197085,55171000120000,"OCS Y-1663 WARTHOG 1","ARCTIC SLOPE","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","11/1/1997 12:00:00 AM","ARCO Alaska Inc.","","","","","","",""
100481,55189000010000,"C.O.S.T. KSSD KODIAK 2 DST-08","PACIFIC OC., FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","7/22/1977 12:00:00 AM","Sun Oil Company","","","","","","",""
100235,55201000010000,"OCS Y-0191 BEECHY PT 1","ARCTIC OCEAN, FED.","*EXPLORATORY","Unknown","Exploratory","Plugged & Abandoned","11/1/1981 12:00:00 AM","Exxon Corporation","","","","","","",""
